ResponseName,ReleaseDate,Metacritic,RecommendationCount,IsFree,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,After2014,Expensive
Counter-Strike,2000.0,88,68991,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Team Fortress Classic,1999.0,0,2439,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
Day of Defeat,2003.0,79,2319,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
Deathmatch Classic,2001.0,0,888,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
Half-Life: Opposing Force,1999.0,0,2934,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
Ricochet,2000.0,0,1965,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
Half-Life,1998.0,96,12486,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Counter-Strike: Condition Zero,2004.0,65,7067,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Counter-Strike: Condition Zero,2004.0,65,7067,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Half-Life: Blue Shift,2001.0,71,2219,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
Half-Life 2,2004.0,96,35792,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Counter-Strike: Source,2004.0,88,53931,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,0,0
Half-Life: Source,2004.0,0,2547,True,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Day of Defeat: Source,2010.0,80,7185,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Half-Life 2: Deathmatch,2004.0,0,4328,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
Half-Life 2: Lost Coast,2005.0,0,4352,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0,0
Half-Life Deathmatch: Source,2006.0,0,864,True,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Half-Life 2: Episode One,2006.0,87,4437,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7.99,0,0
Portal,2007.0,90,27535,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Half-Life 2: Episode Two,2007.0,90,6104,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7.99,0,0
Team Fortress 2,2007.0,92,383949,True,False,False,True,False,False,False,False,False,False,True,False,False,False,0.0,0,0
Left 4 Dead,2008.0,89,9980,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,0,0
Left 4 Dead 2,2009.0,89,140726,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,0,0
Dota 2,2013.0,90,590480,True,False,False,True,False,False,True,False,False,False,True,False,False,False,0.0,0,0
Portal 2,2011.0,95,73128,False,False,False,True,True,False,False,False,False,False,False,False,False,False,19.99,0,0
Alien Swarm,2010.0,77,14625,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0,0
Portal 2,2011.0,95,73128,False,False,False,True,True,False,False,False,False,False,False,False,False,False,19.99,0,0
Counter-Strike: Global Offensive,2012.0,83,1427633,False,False,False,True,False,False,False,False,False,False,False,False,False,False,14.99,0,0
Red Orchestra: Ostfront 41-45,2006.0,81,1220,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Killing Floor,2009.0,72,44364,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,0,0
SiN Episodes: Emergence,2006.0,75,385,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
SiN Episodes: Emergence,2006.0,75,385,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
SiN Episodes: Emergence,2006.0,75,385,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Darwinia,2005.0,84,444,False,False,True,False,False,False,True,False,False,False,False,False,False,False,9.99,0,0
Uplink,2006.0,75,1240,False,False,True,False,False,False,True,False,False,False,False,False,False,False,9.99,0,0
DEFCON,2006.0,84,1655,False,False,True,False,False,False,True,False,False,False,False,False,False,False,9.99,0,0
Multiwinia,2008.0,76,340,False,False,True,False,False,False,False,False,False,False,False,False,False,False,9.99,0,0
